permission,super_admin,platform_support,tenant_admin,instructor,line_manager,learner
portal.manage,platform,none,none,none,none,none
platform.health.read,platform,platform,none,none,none,none
platform.template.manage,platform,none,none,none,none,none
license.manage,platform,none,none,none,none,none
license.request,none,none,tenant,none,none,none
member.read,support_grant,support_grant,tenant,assigned,team,own
member.manage,none,none,tenant,none,none,none
role.manage,none,none,tenant,none,none,none
organization.manage,none,none,tenant,none,none,none
profile.manage,own,own,own,own,own,own
catalog.read,support_grant,support_grant,tenant,assigned,audience,audience
course.edit,none,none,tenant,assigned,none,none
course.publish,none,none,tenant,none,none,none
program.manage,none,none,tenant,none,none,none
assignment.manage,none,none,tenant,none,none,none
learning.launch,none,none,audience,audience,audience,audience
learning.submit,none,none,own,own,own,own
assessment.grade,none,none,tenant,assigned,none,none
assessment.read,support_grant,support_grant,tenant,assigned,team,own
requirement.manage,none,none,tenant,none,none,none
exemption.review,none,none,tenant,none,none,none
competency.manage,none,none,tenant,none,none,none
competency.claim,none,none,own,own,own,own
competency.review,none,none,tenant,assigned,team,none
credential.submit,none,none,own,own,own,own
credential.review,none,none,tenant,none,team,none
certificate.manage,none,none,tenant,none,none,none
certificate.read,support_grant,support_grant,tenant,assigned,team,own
gamification.manage,none,none,tenant,none,none,none
leaderboard.read,none,none,audience,audience,audience,audience
event.manage,none,none,tenant,assigned,none,none
event.register,none,none,own,own,own,own
attendance.review,none,none,tenant,assigned,none,none
feed.write,none,none,tenant,audience,audience,audience
social.moderate,none,none,tenant,assigned,none,none
community.manage,none,none,tenant,assigned,none,none
message.send,none,none,own,assigned,own,own
form.manage,none,none,tenant,assigned,none,none
form.submit,none,none,own,own,own,own
form.results,none,none,tenant,assigned,none,none
notification.manage,none,none,tenant,none,none,none
notification.read,own,own,own,own,own,own
workflow.manage,none,none,tenant,none,none,none
brand.manage,none,none,tenant,none,none,none
report.run,support_grant,support_grant,tenant,assigned,team,own
report.schedule,none,none,tenant,none,none,none
ai.report,none,none,tenant,none,team,none
authoring.edit,none,none,tenant,assigned,none,none
authoring.publish,none,none,tenant,none,none,none
need.manage,none,none,tenant,assigned,team,own
supplier.manage,none,none,tenant,none,none,none
venue.manage,none,none,tenant,assigned,none,none
knowledge.manage,platform,platform,tenant,none,none,none
knowledge.read,platform,platform,tenant,audience,audience,audience
ticket.create,none,none,own,own,own,own
ticket.read,support_grant,support_grant,tenant,own,own,own
ticket.reply,support_grant,support_grant,tenant,own,own,own
ticket.escalate,none,none,tenant,none,none,none
ticket.assign,platform,platform,tenant,none,none,none
support.grant,platform,none,tenant,none,none,none
audit.read,platform,support_grant,tenant,none,none,none
retention.manage,platform,none,tenant,none,none,none
integration.manage,none,none,tenant,none,none,none
commerce.manage,platform,none,tenant,none,none,none
commerce.purchase,none,none,own,own,own,own
asset.upload,none,none,tenant,assigned,own,own
platform.ticket.read,platform,platform,none,none,none,none
